ts	phase	decision	why	evidence	result
2026-07-24T19:08:00Z	scope	Keep the completed milestone in observation mode and do not admit typed-module reuse	The graph now predicts affected modules from complete fresh typing; using the prediction to skip typing requires separate lexical-identity, request-state, randomized differential, memory, and performance evidence	haxe_ocaml-850ii.32.4; haxe_ocaml-850ii.32.5	semantic_cache remains source-resolution-parser
2026-07-24T19:08:01Z	fact-taxonomy	Accept the nine bounded observation children as one layered dependency model	Source origin, public/implementation use, inline/constants, conditional choices, generated declarations, static initialization, request configuration, and explicit macro-file inputs can each change independently and need one deterministic owner	haxe_ocaml-850ii.32.4.1 through .9	all nine children are closed with immutable facts, reason codes, focused tests, and no typed cache hits
2026-07-24T19:08:02Z	false-negative-policy	Require uncertainty and unknown ownership to fail closed or predict more work rather than less	A false positive costs time in later reuse, but a false negative could return a believable stale program	CompilerDependencyCollector; CompilerDependencyInvalidator; focused dependency edit and server sequences	registrations outside the typed program fail; configuration changes conservatively affect all current modules; input-only changes remain local only after fresh typing proves equivalent output
2026-07-24T19:08:03Z	transaction-and-privacy	Accept only successful request observations and retain digests or logical identities instead of raw private inputs	A long-lived server report must survive failure, cancellation, reset, and workspace changes without exposing source, generated snippets, define values, or macro file paths	CompilationServerDependencyCatalog; CompilationRequestContext; M14CompilationServerDependencyObservationIntegrationTest; M14MacroHostRuntimeApiIntegrationTest	failed and cancelled requests publish nothing; reset clears retained observations; ordinary reports remain path/content safe
2026-07-24T19:08:04Z	combined-native-proof	Pass the complete native hxhx target suite with the exact regenerated compiler	The individual children cross shared compiler records and request orchestration, so one combined binary must prove macros, plugins, transports, targets, lazy loading, and runtime behavior still compose	HXHX_BIN=.tmp/hxhx-bootstrap-build.UmyBAd/_build/default/out.bc npm run test:hxhx-targets	Stage1, Stage3, Stage4, JS, OCaml, expression/build macros, lazy modules, plugin lifecycle, stdio/socket, reset, and runtime checks passed in 673s
2026-07-24T19:08:05Z	local-closure-proof	Accept the final local source, generated snapshot, focused tests, and repository guards	Parent closure must compose the latest macro-file slice with all earlier dependency families rather than rely on stale child evidence	bootstrap emit=1066s verify=21s total=1099s; fingerprint recheck=25s; macro-host shard=289.768s; public server fixture PASS; npm run ci:guards PASS; git diff --check PASS	365-file generated snapshot builds; all focused tests and 886-file Haxe formatting pass
2026-07-24T19:08:06Z	remaining-gate	Keep the parent in progress until exact pushed CI exists	The Bead acceptance explicitly requires remote evidence from the same committed candidate, while the current shared checkout contains uncommitted work and no commit/push authorization	haxe_ocaml-850ii.32.4 acceptance criterion 9	local implementation and validation are complete; exact pushed CI is the only recorded closure gate
2026-07-24T19:08:07Z	readiness	Leave README Goals and North Star maturity unchanged	Dependency observation makes later reuse safer but does not itself reduce user compilation work or establish typed-cache correctness	README.md Goals review; no README diff	no product-readiness claim changes
2026-07-24T19:10:00Z	artifact-cleanup	Remove only the exact native build and server fixture created for this proof after preserving their evidence	Generated proof artifacts consume substantial shared disk space and are reproducible from the tracked snapshot	531MB .tmp/hxhx-bootstrap-build.UmyBAd; 128KB .tmp/native-server-macro-file-dependency-fixture-final	both owned disposable paths are absent; unrelated workspace artifacts remain untouched
2026-07-26T11:20:55Z	evidence-boundary	Keep exact pushed CI as the remaining closure gate and do not weaken criterion 9	The task explicitly requires a committed same-candidate run, while the conservative workspace profile does not authorize commit or push	haxe_ocaml-850ii.32.4 acceptance criterion 9; AGENTS.md conservative profile	implementation stays locally complete and in_progress; no typed cache hit is enabled
