timestamp	category	decision	reason	evidence	result
2026-07-25T02:48:49Z	calibration	Use xhigh for the exact enum-constructor identity and hard-cut review, then medium for deterministic gates	A wrong declaration match can emit believable but incorrect C#, while regeneration and repository guards require supervision rather than further semantic design	haxe_ocaml-850ii.32.2.12; calibrate-reasoning-effort	The staged levels were sufficient; max and Oracle were unnecessary, and medium was restored after the semantic review
2026-07-25T02:48:49Z	practical-outcome	Make C# qualify enum-constructor calls from the exact declaration chosen by the typer	The retired implementation searched process-wide maps by constructor spelling, so duplicate names and failed-request restoration could select or retain the wrong owner	M14CsTypedEnumConstructorProjectionIntegrationTest; CsEnumConstructorCallLowering	A2(BB(12)) renders as global::A.A2(global::B.BB(12)) from exact typed declaration identities
2026-07-25T02:48:49Z	semantic-identity	Record module ownership and enum-constructor status in semantic declaration facts	The backend must consume Haxe lookup results rather than infer ownership from source spelling, target spelling, source position, or traversal order	TyDeclarationInfo; TyNominalInfo; TyperIndex; TyperContext	Unique same-module constructors resolve before body sealing; an ambiguous bare duplicate remains unresolved and a qualified call keeps its exact owner
2026-07-25T02:48:49Z	projection	Carry the selected TyDeclarationId through a source-impossible structural marker	Source-shaped backend adaptation is temporary, but it must not lose the exact semantic call identity or expose parsed function bodies	TypedExactEnumConstructorSource; TypedBodySource	The marker records owner, module, declaration identity, constructor, original callee, and arguments without becoming valid user syntax
2026-07-25T02:48:49Z	request-ownership	Build one C# enum-constructor catalog per target request from sealed typed modules	Process-wide semantic maps are unsafe in a long-lived compiler even when save and restore logic appears complete	CsEnumConstructorCallLowering; SourceTargetCommon	The catalog is keyed by TyDeclarationId.getCanonicalKey and validates the exact module, owner, emitted class, and constructor before rewriting
2026-07-25T02:48:49Z	hard-cut	Delete both C# constructor maps and every reset, save, restore, and name-lookup path	The exact request-owned catalog replaces the old semantic owner; keeping both paths would preserve ambiguity and lifecycle risk	csRenderEnumConstructors; csRenderAmbiguousEnumConstructors; NATIVE_SERVER_REQUEST_STATE_AUDIT	The retired symbols are absent from authoritative Haxe and regenerated OCaml; classified process-wide declarations fall to 112
2026-07-25T02:48:49Z	cross-target	Restore the original ordinary call when a non-C# target sees the generic exact-call marker	The structural marker belongs to shared typed projection, so unrelated targets and dependency scanners must preserve source behavior and observations	M14CsTypedEnumConstructorProjectionIntegrationTest; TypedExactEnumConstructorSource.ordinaryCall	Python renders the original Alpha.AlphaValue(7) call and the PHP dependency scanner still observes Alpha and AlphaValue
2026-07-25T02:48:49Z	failure-isolation	Compare direct, repeated, forced-failure, and post-failure C# output	A failed target write must not publish or leak request-specific constructor state into the next compilation	M14CsTypedEnumConstructorProjectionIntegrationTest	Successful output remains byte-equivalent across repetition and after an output-directory failure
2026-07-25T02:48:49Z	focused-verification	Run the exact typer/projection tests, source-target smokes, alias coverage, typed-body guards, request-state audit, and formatter	The change crosses Haxe lookup, typed projection, C# lowering, target-neutral fallback, and long-lived request state	test:m14:cs-typed-dynamic-local-projection; test:m14:source-native-backend-smoke:targets; test:m14:module-import-alias-targets; guard:typed-backend-bodies; guard:native-server-request-state; formatter	All focused checks pass; the request-state inventory reports 11 files and 112 classified process-wide declarations
2026-07-25T02:48:49Z	compiler-shard	Run the canonical compiler shard after the focused seam passed	The shard exercises the new projection together with compiler, dependency-observation, server-lifecycle, and target boundaries	npm run test:ci:shard -- --shard compiler	The shard passed all 114 commands in 403.489 seconds
2026-07-25T02:48:49Z	bootstrap	Regenerate committed OCaml exclusively from authoritative Haxe sources	The native snapshot must contain the new exact-identity lowering and old-state removal without hand editing generated files	bash scripts/hxhx/regenerate-hxhx-bootstrap.sh --full --report-json /tmp/haxe_ocaml-850ii.32.2.12-bootstrap.json	Stage0 emit 1106s; copy 0s; sharding 6s; native verification 24s; total 1141s; sampled peak RSS 2064 MiB; fingerprint 0cb64a114196edbbf5b1c8cc92bfd89cce05d0c6ebc9fdf659f359114accea32
2026-07-25T02:48:49Z	repository-guards	Run the complete repository contract and formatting bundle after regeneration	The hard cut affects generated ownership, compiler state inventory, bridge boundaries, target contracts, and formatting	npm run ci:guards	All guards passed; the official formatter checked 886 Haxe files
2026-07-25T02:48:49Z	second-pass	Accept the exact C# hard cut after adding original-call preservation and cross-target observation coverage	The xhigh review found that a shared generic marker needed an explicit non-C# fallback and a dependency-scanner regression; no remaining uncertainty required max or Oracle	stale-symbol search; generated catalog inspection; ambiguity fixture; cross-target rendering and dependency checks	No source-position, target-sanitization, constructor-spelling, declaration-order, parsed-body, mutable-map, or failure-restoration lookup remains in the C# decision path
2026-07-25T02:48:49Z	unrelated-gate	Do not absorb the existing PHP imported-Haxelib enum fixture failure into this C# identity slice	The full source-native smoke fails in assertPhpImportedHaxelibEnumSupportClassEmission through a synthetic typeModule path where the new C# lowering does not participate	npm run test:m14:source-native-backend-smoke; target-group smoke	The focused source-target group is green; the pre-existing PHP broad-fixture failure remains separately owned
2026-07-25T02:48:49Z	product-scope	Leave README Goals and North Star readiness unchanged	This slice removes unsafe state and fixes exact C# enum call ownership, but it does not admit typed-module reuse, enable the server, or add a supported product route	README Goals review; haxe_ocaml-850ii.32.2.12 acceptance	No readiness or percentage change
