timestamp	category	decision	reason	evidence	result
2026-07-25T00:26:11Z	calibration	Use xhigh for the field-identity design, high for the bounded implementation, and medium for verification and closure	A believable wrong field/type match could silently change Lua output, but once the exact typed projection seam was established the remaining work was mechanical validation	haxe_ocaml-850ii.32.2.10; calibrate-reasoning-effort	The staged levels were sufficient; max was unnecessary and medium was restored for the long gates
2026-07-25T00:26:11Z	seam	Carry only exact bare field reads selected by each typed function into an immutable field-read catalog	Lua needs the field chosen by the typer, not every class declaration or a target-owned reconstruction	TypedBodySource.collectExpressionFieldReads; TypedBackendFieldReadProjection; TypedBackendFieldReadCatalog	Each function owns only the NameRead field facts it actually consumes
2026-07-25T00:26:11Z	identity	Keep TyFieldInfo as the semantic authority and use projected names only as temporary body transport	A bare Haxe name cannot prove owner, staticness, type, or declaration properties	TypedBackendFieldReadProjection.getCanonicalIdentity; TyFieldInfo.getCanonicalKey; TyType.getSemanticKey	Conflicting owner/type/declaration facts for one transport name fail before rendering
2026-07-25T00:26:11Z	shadowing	Reserve exact bare-field transport names before deterministic local-name allocation	A local named value and a static field named value must remain distinct after the temporary source-shaped projection	TypedBackendFieldReadCatalog.getReservedProjectedNames; TypedBackendLocalCatalog; M14LuaTypedFieldProjectionIntegrationTest	The field remains value and the nested Int local becomes value_1
2026-07-25T00:26:11Z	lowering	Resolve Lua identifier receivers as exact local first, then exact static field	Local shadowing must win while unshadowed bare static String reads may use Lua String helpers	LuaStringLocalCallLowering.dependsOnExactStringValue	Only primitive:String from TyLocalBinding or TyFieldInfo triggers helper lowering
2026-07-25T00:26:11Z	hard-cut	Delete both Lua static-field process maps and their save, restore, reset, and audit lifecycle	The previous name-to-type maps could survive failed requests and inferred semantics from HxFieldDecl hints or initializers	luaRenderSameClassStaticFieldTypes; luaMainClassStaticFieldTypeMap; SourceTargetCommon.resetRequestState; NATIVE_SERVER_REQUEST_STATE_AUDIT	The symbols are absent from source and generated output; classified process-wide declarations fall from 116 to 115
2026-07-25T00:26:11Z	fixture-correction	Type the existing Lua static-field smoke through resolver, index, and module loader	The minimal typeModule helper deliberately has no TyperIndex and therefore cannot produce authoritative field information	M14SourceNativeBackendSmokeIntegrationTest.luaIssue9530StringMethodProgram	The fixture now exercises the production resolved-typing seam instead of inviting a target inference fallback
2026-07-25T00:26:11Z	regression	Prove same-function shadowing, helper isolation, conflict rejection, repeatability, failure cleanup, and runtime behavior	One happy render would not expose process leakage, stale field facts, or a helper borrowing main-function state	M14LuaTypedFieldProjectionIntegrationTest; test:m14:lua-typed-local-projection	Direct, repeated, failed, and post-failure output agree; Lua runtime output is FIELD, 7, field, FIELD
2026-07-25T00:26:11Z	bootstrap	Regenerate committed OCaml exclusively from authoritative Haxe sources	The native compiler snapshot must contain the exact catalog and hard cut without hand-edited generated code	bash scripts/hxhx/regenerate-hxhx-bootstrap.sh --full --report-json /tmp/haxe_ocaml-850ii.32.2.10-bootstrap.json	Stage0 emit 1308s; copy 0s; sharding 6s; native verification 30s; total 1350s; sampled peak RSS 2503 MiB
2026-07-25T00:26:11Z	generated-evidence	Confirm the regenerated compiler contains the new catalog and no retired Lua state	A successful build alone would not prove the intended Haxe source was the generated semantic owner	rg over packages/hxhx/bootstrap_out; TypedBackendFieldReadCatalog.ml; backend_source_LuaStringLocalCallLowering.ml	Generated lowering calls getFieldReadCatalog and TyFieldInfo.getType; both retired symbols are absent
2026-07-25T00:26:11Z	verification	Compose focused projection tests, source-native targets, the canonical compiler shard, full native regeneration, ownership guards, and all repository guards	The change crosses typed identity, Lua semantics, failed-request isolation, generated-source ownership, and formatting	test:m14:typed-local-identity; js/neko/lua typed projection tests; source-native targets; compiler shard; guard:typed-backend-bodies; ci:guards	All checks pass; compiler shard ran 113 commands in 554.258s and the formatter checked 886 Haxe files
2026-07-25T00:26:11Z	second-pass	Accept the exact field-read hard cut with no Oracle escalation	The bounded seam has executable evidence and introduces no source-position correlation, sanitized-name semantic matching, unrelated-field projection, HxFieldDecl inference, static mutable state, or cross-target interpretation	stale-symbol search; fallback search; static-state search; generated call inspection; direct code review	The structural legacy-to-projection lookup selects an existing sealed function projection only; it does not define field identity or correlate expressions
2026-07-25T00:26:11Z	product-scope	Leave README Goals and North Star progress unchanged	This slice removes unsafe request state and fixes exact Lua field/local behavior but does not add typed-module reuse, enable a default server, or establish a new supported target route	README Goals review; haxe_ocaml-850ii.32.2.10 acceptance	No readiness or percentage change
