timestamp	category	decision	reason	evidence	result
2026-07-24T13:56:25Z	calibration	Use xhigh only to select the next semantic-state boundary, then high for implementation	Misclassifying recursive analysis state could later create plausible stale output, but the implementation became bounded once every use already flowed through CppRenderScope	haxe_ocaml-850ii.32.2.4; calibrate-reasoning-effort runtime control	xhigh lease ended after seam selection; runtime changed to high
2026-07-24T13:56:25Z	seam	Move function preparation and erased-Dynamic return analysis into one per-program memo	Both analyses receive a render scope and need completed-result reuse plus recursion guards; CppClassLookup already owns the render-request lifetime	packages/hxhx-core/src/backend/cpp/CppFunctionAnalysisMemo.hx; packages/hxhx-core/src/backend/cpp/CppClassLookup.hx; packages/hxhx-core/src/backend/cpp/CppRenderScope.hx	Within-program scopes share state and separate lookups start empty
2026-07-24T13:56:25Z	scope	Defer argument and return signature caches to a caller-threading child	Those APIs reconstruct lookup objects from class maps, so moving them now would silently remove sharing or require a broader service-contract change	packages/hxhx-core/src/backend/cpp/CppTargetCore.hx:24685; packages/hxhx-core/src/backend/cpp/CppTargetCore.hx:24879	Broad API change avoided; explicit next seam preserved
2026-07-24T13:56:25Z	implementation	Extract CppFunctionScopePrep and add CppFunctionAnalysisMemo outside the CppTargetCore mega-file	A named analysis owner documents lifetime and permits final maps without growing another generic context bag	packages/hxhx-core/src/backend/cpp/CppFunctionScopePrep.hx; packages/hxhx-core/src/backend/cpp/CppFunctionAnalysisMemo.hx	Four process-static fields and reset obligations removed
2026-07-24T13:56:25Z	focused-validation	Accept focused behavior, isolation, timing, and server-state checks	The suite covers preparation replay, lookup isolation, completed recursion-guard cleanup, erased-return caching, forced cold timings, and XML-heavy rendering	focused render; timing buffer; XML create/navigation/basic benches; complete helper benchmark; server dispatcher; request-state audit	All passed; audit fell from 130 to 126 classified process declarations; helper best_seconds=0.198626995086669922
2026-07-24T14:12:24Z	bootstrap	Regenerate the authoritative OCaml bootstrap only from Haxe source	The generated compiler must prove the new request-owned memo lowers through the normal source-of-truth path; generated OCaml was not edited	scripts/hxhx/regenerate-hxhx-bootstrap.sh --full --force	PASS; 359 generated files; stage0=858s; snapshot=1s; sharding=4s; Dune=18s; total=884s
2026-07-24T14:20:05Z	contract-repair	Update the C++ render-plan guard after it rejected the intentionally removed process-static cache	A guard that still requires functionScopePrepCache would preserve the old ownership error; the plan must instead name the program-owned memo and the two signature caches that remain	process first ci:guards failure; docs/00-project/CPP_RENDER_TYPE_FLOW_PLAN.md; scripts/ci/cpp-render-type-flow-plan-check.js	Narrow guard passed and the complete ci:guards rerun passed
2026-07-24T14:20:05Z	second-pass	Accept the program-owned analysis seam after an explicit ownership and cleanup review	The completed results and recursion guards are created by one CppClassLookup, shared by its scopes, absent from process reset, cleared on supported exception paths, and absent from a separately created lookup	source review plus M14CppNativeBackendSmokeIntegrationTest isolation and cleanup assertions	PASS; no old process-static field or reset reference remains
2026-07-24T14:20:05Z	final-validation	Accept the bounded slice	Authoritative regeneration, snapshot-copy determinism, focused behavior and timing tests, request/server isolation, formatting, diff hygiene, and repository-wide architecture guards all passed	recorded commands and attached sessions	PASS
2026-07-24T14:20:05Z	product-status	Leave README Goals status unchanged	Request-owned C++ analysis state improves server safety but does not yet add typed reuse, change a supported target route, or establish new user-visible readiness	README.md Goals status contract	No README or progress-bar change required
2026-07-24T14:20:05Z	closure-calibration	High was sufficient for implementation; xhigh was useful only for the short seam-selection window	The main risk was choosing a semantic lifetime, while implementation and verification became bounded after CppRenderScope was confirmed as the common boundary	calibrate-reasoning-effort phase leases	xhigh released to high after seam selection and medium for mechanical regeneration and final gates
