ts	phase	decision	why	evidence	result
2026-08-02T02:52:00Z	scope	Select exact Dynamic return preservation as the next parent slice	Dynamic already has one Obj.t representation and callable boundary, while current nested return syntax still performs unchecked legacy repair	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlCallPlan.hx#boundaryForNestedRepresentedResult; test/portable/fixtures/early_return/out/Main.ml#nestedDynamicClosure	Prepare haxe_ocaml-w32h3.23 as a bounded return-carrier hard cut
2026-08-02T02:56:12Z	red	Require the existing nested Dynamic closure to seal one return decision	The fixture already produces an observable Dynamic value, so changing its ownership assertion exposes the real missing plan without inventing a demonstration bug	command:PORTABLE_FIXTURE_ALLOWLIST=early_return PORTABLE_JOBS=1 bash scripts/test-portable.sh	Failed as intended: expected 31 represented return decisions but the compiler produced 30
2026-08-02T03:06:00Z	implementation	Teach every sealed-plan consumer to distinguish Dynamic returns from Dynamic throws	Both controls carry Obj.t, but a return uses the program representation while a throw uses a control-only exception representation; accepting one as the other would weaken corruption detection	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlControlPlan.hx#isAdmittedDynamicReturnPayload; packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlLoweringReportWriter.hx; packages/reflaxe.ocaml/src/reflaxe/ocaml/tooling/ReflaxeOcamlInspection.hx	Planner, syntax, lowering-report writer, and report reader now agree on the exact Dynamic return contract
2026-08-02T03:15:54Z	green	Accept the Dynamic return slice only after behavior, carrier-shape, lifecycle, and cache-version proof	A successful OCaml build alone could hide a second box or stale cached plan, so the gate checks runtime output, generated boundary shape, upstream behavior, plan corruption, semantic identity, lifecycle, and target-reuse invalidation	command:PORTABLE_FIXTURE_ALLOWLIST=early_return PORTABLE_JOBS=1 bash scripts/test-portable.sh; command:npm run test:reflaxe-ocaml:control-plan; command:npm run test:reflaxe-ocaml:early-return-oracle; command:npm run test:reflaxe-ocaml:semantic-identities; command:npm run test:reflaxe-ocaml:preprocessor-lifecycle; command:npm run test:reflaxe-ocaml:target-reuse-contract	Passed 31 sealed return decisions, 3 upstream routes and 16 cases, focused corruption guards, stable semantic identities, late-mutation rejection, and exact-hit cache contracts
2026-08-02T03:15:54Z	golden-audit	Keep the pipeline-version golden changes mechanical	Changing a plan that may be cached must invalidate every report bound to the old root or nested pipeline revision, but it must not refresh unrelated expected behavior	command:git show HEAD:<golden> | perl -pe <v62-to-v63-and-v5-to-v6> | cmp -s - <golden>	All six changed lowering goldens equal the previous file with only the two declared pipeline-revision substitutions
2026-08-02T03:46:50Z	review-blocker	Add an ordinary-function Dynamic tracer before closure	The first independent GPT-5.6 Sol review found that the nested closure exercised the full compiler path while the ordinary-shaped unit fixture constructed its payload by hand	collaboration:/root/review_w32h3_23; test/oracle/reflaxe_ocaml_early_return_control_seed/src/Main.hx#dynamicBranch; test/portable/fixtures/early_return/test.sh	Root and nested Dynamic returns now both cross planner, sealer, syntax, native build, runtime, and report inspection
2026-08-02T03:46:50Z	audit-correction	Replace the earlier non-resolving scope evidence	Ignored generated output can help diagnosis but cannot be the durable source a reviewer uses to reproduce the decision	packages/reflaxe.ocaml/src/reflaxe/ocaml/lowered/OcamlCallPlan.hx#boundaryForNestedRepresentedResult; test/oracle/reflaxe_ocaml_early_return_control_seed/src/Main.hx#nestedDynamicClosure; test/portable/fixtures/early_return/test.sh	This row supersedes the generated out/Main.ml pointer in the scope row
2026-08-02T03:46:50Z	broad-red	Keep the first complete-corpus failure as evidence instead of refreshing snapshots blindly	The first 97-fixture run proved 89 fixtures still passed and isolated eight report-bound failures after the pipeline revision changed record identities and one diagnostic category	command:npm run test:portable	Failed as intended for review: six lowering goldens required deterministic regeneration and two negative fixtures expected the previous report-reader diagnostic
2026-08-02T03:46:50Z	golden-correction	Regenerate every pipeline-bound lowering golden through the guarded compiler path	Plan record identities include the pipeline revision, so changing it can reorder records and recompute dependent revisions even when behavior is unchanged; literal substitution cannot author those derived values	command:PORTABLE_UPDATE_LOWERING_GOLDENS=1 PORTABLE_FIXTURE_ALLOWLIST=call_exact_int_static,imap_runtime_boundary,place_array_compound_assign,place_array_simple_assign,place_instance_field_assign,place_static_field_assign PORTABLE_JOBS=1 bash scripts/test-portable.sh	Each of the six fixtures produced the same report twice before its golden was replaced, and every updated fixture then passed; this row supersedes the placeholder command in the earlier golden-audit row
2026-08-02T03:46:50Z	focused-green	Prove both ordinary and nested Dynamic returns against independent behavior and generated carrier shape	The root tracer closes the review gap without admitting a new representation: both paths start with an already-Dynamic local and must keep Obj.t unchanged	command:PORTABLE_FIXTURE_ALLOWLIST=early_return PORTABLE_JOBS=1 bash scripts/test-portable.sh; command:npm run test:reflaxe-ocaml:early-return-oracle	Passed 32 sealed return decisions plus upstream interpreter, JavaScript, and Neko parity across 17 cases
