ts	phase	decision	why	evidence	result
2026-07-30T22:42:07Z	frame	Separated mixed-enum reflection from direct enum throw transport	Typed catches now recover the native variant correctly, while reflection still confuses Haxe constructor order with OCaml runtime tags	haxe_ocaml-w32h3.16; haxe_ocaml-0uwin.16	direct throw work closed; reflection bug remains open
2026-07-30T22:42:07Z	design	Require generated enum metadata instead of a runtime tag-offset guess	Constant and payload constructors can be interleaved, so one numeric offset would return believable but incorrect names and indices	haxe_ocaml-0uwin.16	investigating the smallest typed metadata boundary
2026-07-30T22:48:00Z	oracle	Froze mixed-shape enum reflection across Haxe interpreter, JavaScript, and Neko	The target fix needs an upstream behavior oracle for names, declaration indices, parameters, constructor order, and runtime factories	test/oracle/reflaxe_ocaml_enum_reflection_layout_seed; scripts/reflaxe-ocaml/run-enum-reflection-layout-oracle.sh	13 cases pass on all 3 upstream Haxe 4.3.7 routes
2026-07-30T22:53:57Z	scope	Kept Dynamic array-element boxing out of the reflection-runtime patch	The first native run showed that array literals bypass the existing planned enum-to-Dynamic local conversion; teaching reflection to guess the missing enum name would hide that separate carrier bug	haxe_ocaml-0uwin.17	array-element conversion has its own open typed-lowering Bead
2026-07-30T22:54:30Z	implementation	Generated one constructor layout containing Haxe index and exact OCaml representation tag	Reflection, declaration-order listing, and indexed factory creation need one authoritative mapping instead of independent raw-tag interpretations	packages/reflaxe.ocaml/src/reflaxe/ocaml/CompilationContext.hx; packages/reflaxe.ocaml/src/reflaxe/ocaml/OcamlCompiler.hx; packages/reflaxe.ocaml/std/runtime/HxType.ml	focused native fixture passes names, indices, parameters, and factories
2026-07-30T23:03:10Z	snapshots	Regenerated all ten OCaml snapshot families through the compiler	The checked-in examples must show the same explicit Haxe-index-to-OCaml-tag mapping that the target now emits; generated output was rebuilt rather than hand-edited	test/snapshot/core/enums_basic/intended/HxTypeRegistry.ml; npm run test:snapshot	full snapshot and OCaml parse gate passes
2026-07-30T23:30:58Z	broad-verification	Kept nine broad portable failures out of the enum reflection implementation	The new enum fixture passes; the red fixtures expose stale direct-throw evidence checks, target-neutral fingerprint null access, and a missing anonymous-object plan that occur outside this mapping	haxe_ocaml-w32h3.17; haxe_ocaml-850ii.33.8; haxe_ocaml-0uwin.18	88 of 97 portable fixtures pass; three bounded follow-up owners opened
2026-07-30T23:46:25Z	lifecycle-fix	Continued through Haxe pattern metadata while suppressing only its field operations	The planner discovered object literals below `@:ast` in its first pass but stopped before indexing their create and initializer decisions in its second pass	haxe-stdlib/haxe/Template.hx:7987-8015; AnonymousStructurePlanCases.literalInsideSwitchCase; haxe_ocaml-0uwin.18	focused planner chain and original haxe_core_bucket02_basic compile/build/run pass
2026-07-31T00:24:48Z	bootstrap-proof	Regenerated the main hxhx bootstrap only through the official source-owned generator	The committed native fallback needed both the anonymous-object lifecycle fix and the preceding mixed-enum reflection mapping; hand-editing generated OCaml would not prove either source path	scripts/hxhx/regenerate-hxhx-bootstrap.sh --incremental --verify; generation=2040s; verification=39s	364-file snapshot generated, sharded, and built successfully; mutation, plugin-kind, copy, path, and whitespace guards pass
2026-07-31T00:32:31Z	scope	Separated macro-host call-plan loss from the anonymous-object lifecycle fix	The macro-host generator passed the object-literal frontier but a generated `Macro.init()` call then lost its sealed occurrence; merging the defects would obscure ownership and invite a syntax fallback	haxe_ocaml-djk1x; ocaml-call:plan-invariant	macro-host snapshot remained unpublished; dedicated P1 high-reasoning bug opened
