timestamp	category	decision	reason	evidence	result
2026-07-25T01:43:15Z	calibration	Use xhigh while selecting and reviewing the exact identity seam, high for implementation, and medium for deterministic regeneration and closure	A wrong C# Dynamic-call decision can generate believable but incorrect output, while the final bootstrap and guard phase requires supervision rather than new semantic design	haxe_ocaml-850ii.32.2.11; calibrate-reasoning-effort	The staged levels were sufficient; max was unnecessary, and medium was restored after semantic review
2026-07-25T01:43:15Z	practical-outcome	Make C# choose reflection dispatch from the exact typed local selected for each function	The previous process-wide name/type map could confuse shadowed locals and had to be restored after failures	M14CsTypedDynamicLocalProjectionIntegrationTest; CsDynamicLocalCallLowering	Only the outer Dynamic value and exact Dynamic parameters use __HxRuntime.callField; the nested String value remains an ordinary String receiver
2026-07-25T01:43:15Z	identity	Resolve the legacy class/function objects to one stable typed function identity inside TypedModule	The backend must not correlate typed and rendered work by source position, declaration order, sanitized spelling, or target text	TypedBackendDeclarationCatalog; TypedModule.findBackendFunctionProjection	The typed owner returns the exact strict module, owning class, and function projection and fails on missing or duplicate stable identities
2026-07-25T01:43:15Z	type-authority	Read Dynamic only from TyLocalBinding.getType through the function-local projection	Cast text, HxFunctionArg and SVar hints, initializers, and rendered names are not authoritative semantic facts	CsDynamicLocalCallLowering.dependsOnExactDynamicLocal; generated backend_source_CsDynamicLocalCallLowering.ml	The generated lowering calls getLocalCatalog, getBinding, getType, unwrapNull, and isDynamic; no type-hint parser participates
2026-07-25T01:43:15Z	structural-walk	Share one post-order source-body rewriter between bounded target lowerings	C# and Lua need the same complete traversal without adding another mutable renderer context or duplicating every HxExpr and HxStmt walk	SourceFunctionBodyRewriter; LuaStringLocalCallLowering; CsDynamicLocalCallLowering	All current structural statement and expression forms preserve order, positions, metadata, and child evaluation before the target callback runs
2026-07-25T01:43:15Z	marker	Represent the C# dispatch decision with an internal unsupported-expression marker rather than a valid Haxe identifier	A valid helper-like name could collide with user code and be misread as compiler metadata	CsDynamicLocalCallLowering.marker; SourceTargetCommon.renderExpr	The marker cannot be produced as a callable identifier by valid source and only the C# renderer interprets it
2026-07-25T01:43:15Z	hard-cut	Delete the C# local-type map and its save, restore, lookup, reset, and audit lifecycle	Exact immutable function projections now carry the required fact, so retaining the name-keyed process state would preserve a competing semantic path	csRenderLocalTypes; withCsLocalTypes; csLocalTypeHint; csShouldUseDynamicFieldCall; NATIVE_SERVER_REQUEST_STATE_AUDIT	The retired symbols are absent from authoritative Haxe, regenerated OCaml, tests, and documentation; classified process-wide declarations fall to 114
2026-07-25T01:43:15Z	fixture-correction	Type the C# shadowing fixtures through the real parser and typer	Synthetic source-shaped functions without TyLocalBinding facts would force an unsafe fallback and would not test production behavior	M14SourceNativeBackendSmokeIntegrationTest; M14CsTypedDynamicLocalProjectionIntegrationTest	The fixtures retain exact projected names and prove main, a main-class helper, and a library/support method each consume their own function projection
2026-07-25T01:43:15Z	failure-isolation	Compare direct, repeated, forced-failure, and post-failure output	Removing a reset path is safe only if a failed write cannot affect the next request	M14CsTypedDynamicLocalProjectionIntegrationTest	Entry and support output remain byte-equivalent across successful requests and after an output-directory failure
2026-07-25T01:43:15Z	bootstrap	Regenerate committed OCaml exclusively from authoritative Haxe sources	The native compiler snapshot must contain the exact projection, lowering, structural marker, and hard cut without hand edits	bash scripts/hxhx/regenerate-hxhx-bootstrap.sh --full --report-json /tmp/haxe_ocaml-850ii.32.2.11-bootstrap.json	Stage0 emit 1130s; copy 0s; sharding 6s; native verification 20s; total 1162s; sampled peak RSS 2955 MiB
2026-07-25T01:43:15Z	verification	Compose focused C#/Lua/source-target tests, typed-boundary and request-state guards, the canonical compiler shard, full bootstrap regeneration, and all repository guards	The change crosses typed identity, target lowering, failed-request isolation, generated-source ownership, and formatting	test:m14:cs-typed-dynamic-local-projection; test:m14:source-native-backend-smoke:targets; test:m14:lua-typed-local-projection; guard:typed-backend-bodies; compiler shard; ci:guards	All checks pass; the compiler shard ran 114 commands in 474.816s and the formatter checked 886 Haxe files
2026-07-25T01:43:15Z	second-pass	Accept the exact C# hard cut after correcting three review findings; no Oracle escalation	The explicit xhigh review found and removed cast-text inference, a redundant main-class name lookup, and a valid-identifier marker collision; the remaining seam is bounded and executable	stale-state search; forbidden-correlation search; marker-ownership search; generated decision inspection; direct code review	No source-position, function-order, sanitized-spelling, target-hint, mutable-map, parsed-body, or cross-target fallback remains in the new decision path
2026-07-25T01:43:15Z	product-scope	Leave README Goals and North Star progress unchanged	This slice removes unsafe request state and fixes exact C# shadowing behavior but does not add typed-module reuse, enable the server by default, or establish a new supported target route	README Goals review; haxe_ocaml-850ii.32.2.11 acceptance	No readiness or percentage change
