ts	phase	decision	why	evidence	result
2026-07-25T22:40:00Z	reframe	replaced the premature five-map production cut with the next immutable module-fact observation	the five naming helpers are reached through roughly 300 recursive calls in a shared five-target renderer, so cutting them before the PHP renderer boundary would require the rejected optional-context rewrite or a hidden singleton	packages/hxhx-core/src/backend/source/SourceTargetCommon.hx; docs/00-project/PHP_RENDER_SESSION_HARD_CUT_PLAN.md	accepted slice order restored before implementation
2026-07-25T22:42:00Z	provenance	separated black-box Haxe behavior evidence from the local PHP fact model	upstream 4.3.7 proves that source-module identity may differ from the selected class name, while the fact-record structure remains a repo-local architecture decision	.tmp/haxe-module-identity-oracle; haxe_ocaml-850ii.32.2.20	no upstream source or test implementation copied
2026-07-25T22:48:00Z	identity	bound module facts to exact typed-program, merged typed-module, source-module, and PHP schema revisions	module-local naming must not be reusable against a different semantic module or target spelling contract	packages/hxhx-core/src/backend/source/PhpModuleRenderFacts.hx	exact observation identity implemented
2026-07-25T22:51:00Z	typed-input	derived local emitted names from strict projected classes and imported aliases from resolved typed directives	the PHP target must not reconstruct module identity from the main class or reparse import spelling	packages/hxhx-core/src/backend/source/PhpTypedProgramProjection.hx; packages/hxhx-core/src/backend/source/PhpModuleRenderFacts.hx	no parsed-body or generated-output lookup
2026-07-25T22:54:00Z	alias-isolation	recorded that the legacy alias builder unions imports from every module while the new module record retains only its own resolved imports	Haxe imports are module-scoped, but changing production behavior belongs to a later black-box oracle-backed hard cut	test/M14SourceNativeBackendSmokeIntegrationTest.hx	observation exposes legacy Data alias in Plain while module facts correctly omit it
2026-07-25T22:56:00Z	failure	rejected two resolved providers assigned to the same local alias	a traversal-ordered overwrite would make module naming believable but unstable	test/M14SourceNativeBackendSmokeIntegrationTest.hx	conflicting Data aliases fail before fact publication
2026-07-25T22:58:00Z	focused-verification	formatted touched Haxe, checked the typed boundary, and ran the focused source-target group	the smallest executable gate must prove observation identity, parity, isolation, and unchanged target output before broader validation	haxelib run formatter; node scripts/ci/typed-backend-body-boundary-check.js; npm run test:m14:source-native-backend-smoke:targets	PASS
2026-07-25T23:01:00Z	upstream-oracle	verified that an import alias is visible only in the source module that declares it	the new module-local alias view should be grounded in observable Haxe behavior rather than inferred from local architecture	<HAXE_4_3_7>/haxe .tmp/haxe-module-alias-oracle/build.hxml	PASS: upstream rejected Plain.Data with Type not found while UsesAlias owns the alias
2026-07-25T23:03:00Z	broad-local-verification	ran the full source-native smoke, typed-body boundary, request-state inventory, source-family plan, and whitespace check	the observation record touches typed projection and PHP target facts but must preserve every existing source-target output and lifecycle contract	npm run test:m14:source-native-backend-smoke; npm run test:m14:typed-body-boundary; npm run guard:native-server-request-state; npm run guard:source-native-target-family-plan; git diff --check	PASS
2026-07-25T23:07:00Z	xhigh-review-correction	made reverse emitted-type collision checks case-insensitive	PHP class names are case-insensitive, so distinct Haxe types emitted as CaseType and casetype cannot coexist safely even though their strings differ	packages/hxhx-core/src/backend/source/PhpProgramRenderFacts.hx; test/M14SourceNativeBackendSmokeIntegrationTest.hx	case-only emitted collision now fails before observation publication
