timestamp	decision	why	evidence	result
2026-08-10T18:20:00Z	Use thinking:xhigh for Array map and filter	Generic callback and result typing can generate plausible but wrong OCaml when the element type changes.	late builder branches and requirements-only hard-cut criteria	xhigh applied with a required written second pass
2026-08-10T18:22:00Z	Confirm that map and filter still need work	Both calls remain late builder decisions, the inventory still lists both private references, and no live Bead owns them.	OcamlBuilder.hx:4275; private runtime inventory; bd search Array map filter	confirmed unresolved and unowned
2026-08-10T18:43:00Z	Record the expected-red closed-operation failure	The focused fixture names Map and Filter before the model supports them.	npm run test:reflaxe-ocaml:call-plan failed on the missing operations	the lowest faithful plan contract is sensitive to both missing calls
2026-08-10T19:05:00Z	Keep one standard Array call model	Map and filter need the existing receiver, callback, result, schedule, runtime, and ownership facts; a second model would duplicate them.	OcamlStandardArrayCallModel typed TFun analysis	one result-element field extends the existing sealed target
2026-08-10T19:12:00Z	Preserve nullable callback identities	Following the complete callback type removed Null from valid callback parameters and could reject correct sort or unary callbacks.	focused call-plan nullable cases	callback inputs and outputs are compared from their raw typed function nodes
2026-08-10T19:24:00Z	Reuse HxArray map and filter runtime functions	The existing runtime already preserves order and storage behavior; only compiler permission was late.	upstream Haxe oracle and M6 Array build/run	no new runtime implementation or generated-output repair
2026-08-10T19:14:00Z	Use Float for the executable type-changing tracer	An Int-to-String tracer exposed an unused String-default runtime requirement outside this call-model boundary.	final runtime-use reconciliation failure	keep the String type proof focused and track the runtime mismatch separately
2026-08-10T19:16:00Z	Remove exactly two private builder decisions	The sealed call plan now owns both operations before syntax.	private runtime inventory regeneration	inventory decreased from 334 to 332
2026-08-10T19:18:00Z	Hard-cut report and plan revisions	Old reports do not contain the new result-element field or operation proofs.	standard Array v8, function plans v94, call boundary v28, lowering schema 79	stale reports fail instead of receiving compatibility handling
2026-08-10T19:22:00Z	Make inspection proof non-vacuous and fail closed	The first review showed that zero map/filter rows passed and a missing nullable field looked like null.	real portable map/filter fixture plus missing-field corruption	inspection now requires both operations and explicit field presence
2026-08-10T19:24:00Z	Complete the xhigh second pass	Callback identity, generic results, evaluation, storage, ownership, corruption, and claim scope all have direct evidence.	focused plan, Haxe oracle, generated OCaml build/run, inspection, runtime authority, inventory, and guards	two proof gaps fixed; no Oracle escalation or readiness change
