timestamp_utc	decision	why	evidence	result
2026-07-26T02:10:00Z	calibration	selected thinking:high	the seam is bounded, but structural generic substitution is compiler semantics and a string-based shortcut could silently mis-type inherited members	calibrate-reasoning-effort	high applied to subsequent turns
2026-07-26T02:12:00Z	seam-review	retain class parameters and compose structural substitutions before PHP function-plan construction	the legacy PHP renderer consumes inherited field types and method arguments; the new exact graph identifies the parent but cannot yet specialize T through Base<String>	SourceTargetCommon.hx:2999-3169,7804-8150,15389-15470; TypedBackendClassSemanticFacts.hx; TypedBackendClassGraph.hx	bounded target-neutral prerequisite selected; no production consumption
2026-07-26T02:24:00Z	stop-condition	Haxe permits a method type parameter to shadow a same-name class type parameter	the existing semantic key type-parameter:T conflates two binders, so name-keyed substitution could silently replace the wrong T	.tmp/haxe-generic-shadow-oracle/Main.hx; haxe --version; haxe -cp .tmp/haxe-generic-shadow-oracle --main Main --interp	PASS Haxe=4.3.7 output=1; local substitution paused before validation
2026-07-26T02:27:00Z	recalibration	upshifted to thinking:xhigh	the required fix now changes semantic binder identity, declaration signatures, generic-call binding, revision keys, and future cache correctness	calibrate-reasoning-effort	xhigh applied to subsequent turns; release after scoped identity and substitution pass a second review
2026-07-26T02:30:00Z	scope-correction	make scoped type-parameter identity the shared prerequisite rather than masking shadowing in PHP facts	class, abstract, and method binders need exact identities; target-local name exclusions would preserve the underlying conflation	TyType.hx; TyperIndex.hx; TyClassInfo.hx; TyAbstractInfo.hx; TyDeclarationInfo.hx; TyMethodGenericBinding.hx	task body revised; production PHP remains observation-only
2026-07-26T03:02:00Z	implementation	assigned exact binder identities and composed structural superclass substitutions	method-level T must remain distinct from class-level T; inherited member types need exact multi-hop specialization without parsing text	TyTypeParameterId.hx; TyType.hx; TyperIndex.hx; TyMethodGenericBinding.hx; TyTypeSubstitution.hx; TypedBackendClassSemanticFacts.hx; TypedBackendClassGraph.hx	scoped class, abstract, and method binders plus specialized lineage implemented in Haxe source
2026-07-26T03:08:00Z	parser-owner	retained generic parameters for the main class in the existing class-header parser	the secondary-type scanner already retained generic metadata, but HxParser skipped the main class angle group and left its fields unresolved	HxParser.hx; M14SourceNativeBackendSmokeIntegrationTest.hx	narrow parser-header correction; no target workaround and no new parser responsibility
2026-07-26T03:14:00Z	oracle	verified multi-hop inherited generic behavior and method-parameter shadowing with installed Haxe 4.3.7	the local semantic model must preserve Array<String> through Middle<U> and leave shadow<T> independent	.tmp/haxe-generic-inheritance-oracle/Main.hx; haxe --version; haxe -cp .tmp/haxe-generic-inheritance-oracle --main Main --interp	PASS Haxe=4.3.7 output=ok:typed:7
2026-07-26T03:18:00Z	focused-validation	verified source-native projection, abstract catalog, parser overlay, typed boundary, and request-state guards	the change affects semantic type identities, parser class headers, generic binding, and backend facts	npm run test:m14:source-native-backend-smoke; npm run test:m14:typer-abstract-catalog; npm run test:m14:parser-stage-scan-expression-body; npm run test:m14:typed-body-boundary; npm run guard:typed-backend-bodies; npm run guard:native-server-request-state	PASS
2026-07-26T00:40:00Z	second-pass-review	reviewed binder stability, substitution coverage, immutable publication, schema effects, and production non-consumption	xhigh closure requires a separate design pass because believable wrong generic facts would later make target output and cache reuse unsound	TyTypeParameterId.hx; TyTypeSubstitution.hx; TypedBackendClassSemanticFacts.hx; TypedBackendClassGraph.hx; typed-backend-body-boundary-check.js	PASS; identities use semantic owners and declared ordinals, every current structural TyType constructor is handled, returned arrays are defensive, schemas are versioned, and PHP production consumption remains forbidden
2026-07-26T00:40:00Z	review-correction	separated immutable copying from substitution and simplified the multi-hop fixture	copying a published result must stay mechanical, and Base.values:Array<T> through Middle<U> extends Base<Array<U>> should visibly become Array<Array<String>> without an artificial extra nesting	TypedBackendClassGraph.hx; M14SourceNativeBackendSmokeIntegrationTest.hx	dedicated copy helpers added; assertions locate methods by semantic name rather than sorted-array position; focused gates rerun PASS
2026-07-26T00:52:00Z	bootstrap-regeneration	regenerated generated OCaml exclusively from Haxe source and verified the snapshot build	exact binder identities add new generated modules and alter compiler representations, so generated bootstrap evidence must follow the source-of-truth path	scripts/hxhx/regenerate-hxhx-bootstrap.sh --incremental --verify --force --report-json .tmp/haxe_ocaml-850ii.32.2.24-bootstrap-report.json	PASS Haxe=4.3.7 emit=694s verify=19s total=721s peak_observed_rss=4596MB fingerprint=4fbef121f117dc5dfe662c3acf43dfb2c5c662931bcd241316643f8d95d6be42
2026-07-26T00:53:00Z	stage0-forbidden-native-build	proved the regenerated native compiler builds without stage0 access	runtime independence must not be inferred from successful stage0 generation	HXHX_FORBID_STAGE0=1 HAXE_BIN=/definitely-not-used HXHX_DUNE_JOBS=auto bash scripts/hxhx/build-hxhx.sh	PASS native bootstrap artifact built from regenerated snapshot
2026-07-26T01:00:00Z	compiler-shard	ran the complete compiler-focused CI shard after regeneration	scoped type identities affect signatures, overload binding, semantic revisions, parser facts, backend projections, and server dependency evidence, so focused tests alone are insufficient	npm run test:ci:shard -- --shard compiler	PASS 114/114 commands elapsed=349.478s; heavy-run lease released cleanly
2026-07-26T01:03:00Z	repository-guards	ran the repository contract, provenance, ownership, formatting, and evidence aggregate	the shared semantic identity must remain within MIT-clean Haxe source ownership and preserve every guarded compiler boundary	npm run ci:guards	PASS including handwritten OCaml ownership, bridge boundaries, source-target plan, mega-file watch, request-state inventory, local-path/provenance checks, and formatter check of 886 Haxe files
2026-07-26T01:05:00Z	acceptance-coverage	added executable coverage for every structural substitution constructor	the implementation already walked nullable, function, anonymous, nominal, and unresolved shapes, but closure evidence should not rely only on reading those branches	M14SourceNativeBackendSmokeIntegrationTest.hx	PASS exact anonymous/nullable/function/nominal/unresolved specialization with no open binder remaining; source-native smoke and typed boundary guard rerun
2026-07-26T01:05:00Z	oracle-disposition	used Haxe 4.3.7 only as a black-box behavior oracle and completed the required xhigh review locally	the seam became exact and bounded after the shadowing reproducer; an additional external architecture review would add no implementation proof	.tmp/haxe-generic-shadow-oracle/Main.hx; .tmp/haxe-generic-inheritance-oracle/Main.hx; second-pass-review row	Oracle escalation deliberately skipped; no upstream source or upstream unit-test code was copied, translated, retyped, or mechanically adapted
2026-07-26T01:05:00Z	product-doc-review	left README Goals percentages unchanged	this slice makes future PHP lowering and cache identity safer but does not create a supported user workflow	README.md; PHP_RENDER_SESSION_HARD_CUT_PLAN.md	no readiness or Full 1.0 claim changed; architecture plan updated with the exact prerequisite and deferred production cutover
