timestamp	decision	reason	evidence	result
2026-07-25T20:30:00Z	Compose one target-neutral typed-program revision before PHP observation facts	Future PHP function plans need an exact whole-program identity but must not create a target-local source or output hash	CompilerTypedProgramRevision.hx; MacroExpandedProgram.hx; PHP_RENDER_SESSION_HARD_CUT_PLAN.md	in_progress
2026-07-25T20:30:00Z	Keep dependency, configuration, target, and output identities separate	A universal key would mix rebuild causality with the sealed typed facts a lowering plan consumes	CompilerDependencySnapshot.hx; CompilerProgramConfigurationObservation.hx; CompilerTypedProgramRevision.hx	PASS: the new revision contains macro mode plus canonical module revisions only
2026-07-25T20:42:00Z	Centralize complete module identity before program composition	Program and dependency observations should consume one exact module record rather than repeat its field layout	CompilerTypedModuleRevision.getCanonicalIdentity; CompilerDependencySnapshot v7	PASS: snapshot meaning is unchanged while module serialization has one owner
2026-07-25T20:42:00Z	Validate program revision behavior before bootstrap work	Order, allocation, body, module-set, macro-mode, contribution-conflict, and PHP handoff behavior must be executable	npm run test:m14:compiler-dependency-observation; npm run test:m14:typed-body-boundary; npm run test:m14:source-native-backend-smoke; npm run guard:typed-backend-bodies	PASS
2026-07-25T22:05:00Z	Regenerate the committed native snapshot only through the Haxe source pipeline	Haxe remains the implementation authority; generated OCaml must only demonstrate that the source change lowers and builds	scripts/hxhx/regenerate-hxhx-bootstrap.sh --incremental --verify --force; .tmp/haxe_ocaml-850ii.32.2.19-bootstrap-report.json	PASS: exit_code=0 mode=full emit=720s verify=19s total=748s peak_rss_mb=4378 timeout=none
2026-07-25T22:07:00Z	Prove the regenerated compiler without stage0 fallback	The new target-neutral revision must be usable by the native compiler artifact rather than only by stage0 tests	HXHX_FORBID_STAGE0=1 HAXE_BIN=/definitely-not-used HXHX_DUNE_JOBS=auto bash scripts/hxhx/build-hxhx.sh	PASS: native out.bc produced
2026-07-25T22:15:00Z	Run the focused and broad gates after regeneration	The identity seam affects compiler observation and a backend projection, so both focused behavior and repository contracts must remain green	focused M14 tests and typed-backend guard; compiler shard; ci:guards; git diff --check	PASS: compiler shard 114/114 in 358.755s; ci:guards PASS; formatter clean across 886 Haxe files
2026-07-25T22:20:00Z	Complete the required xhigh second-pass architecture review	An exact identity can appear deterministic while omitting an input, depending on traversal order, or absorbing target/cache ownership	CompilerTypedProgramRevision; CompilerTypedModuleRevision; CompilerCacheIdentity; MacroExpandedProgram; PhpTypedProgramProjection; focused tests	PASS: one target-neutral owner; explicit module count and nested length boundaries; sorted module paths; existing merge conflict checks; body freshness before seal; explicit macro mode; target artifacts/configuration/edges/output excluded; PHP copies the supplied revision; no cache, persistence, or readiness claim
2026-07-25T22:20:00Z	Accept conservative recomputation for this prerequisite	The complete module records include source observations, so a source-only edit may change the program revision even when later semantic output is equivalent; this costs observation work but cannot authorize stale reuse	CompilerTypedModuleRevision.getCanonicalIdentity; CompilerTypedProgramRevision documentation	PASS: any later precision refinement remains evidence-gated and outside this no-reuse slice
2026-07-25T22:20:00Z	Leave public readiness wording unchanged	This slice exposes an identity prerequisite but does not create PHP plans, reuse compiler work, or improve a supported route	README.md Goals status; task non-claims	PASS: no README or readiness change required
