ts	phase	decision	why	evidence	result
2026-07-24T19:54:34Z	frame	Introduced one function-owned identity for every source local declaration	Local names are not identities: shadowed declarations can share a name while having different types, lifetimes, and backend representations	TyLocalId.hx; TyLocalBinding.hx; TyLocalDeclarationKind.hx	identity includes the stable function owner, source declaration ordinal, declaration role, and source name
2026-07-24T19:54:34Z	scope	Kept backend naming and representation migration out of this child	The shared typed body must first preserve the source fact before JS, C++, and OCaml consumers can safely stop guessing by name	haxe_ocaml-i7d5a.1 description; haxe_ocaml-i7d5a parent	backends remain unchanged in this slice; no universal IR or control-flow graph was added
2026-07-24T19:54:34Z	lexical-resolution	Replaced the flat function-local list with nested active scopes and nearest-declaration lookup	Reads inside a shadowing block must bind to the inner declaration, while reads before and after it must bind to the outer declaration	TyFunctionEnv.hx; TyperStage.hx	initializers are typed before their declaration becomes active; blocks, branches, loops, catches, lambdas, switches, and comprehensions have explicit scope lifetimes
2026-07-24T19:54:34Z	body-replay	Recorded source declaration order during typing and replayed that catalog while building the immutable typed body	The body builder previously revisited syntax independently and could not prove that a local read referred to the same declaration the typer resolved	TyFunctionEnv.createBodyReplay; TypedBodyBuilder.buildFunctionBody	exact bindings are attached to declarations and reads; missing, reordered, or stale replay fails before backend dispatch
2026-07-24T19:54:34Z	revision	Included canonical local binding identity and semantic type in typed-module implementation evidence	A typed body with different shadowing or local types must never compare equal merely because its printed local names are unchanged	CompilerTypedModuleRevision.hx	implementation schema advanced to typed-module-implementation-v6
2026-07-24T19:54:34Z	invariants	Validated binding identity, type, source name, declaration uniqueness, and bound-read ownership at the typed-body boundary	Backends and future caches need malformed or stale local facts to fail before target code is generated	TypedBodyInvariant.hx; TypedModule seal and backend boundary checks	parameter declarations seed the catalog; source declarations register once; bound reads must reference an exact registered identity
2026-07-24T19:54:34Z	focused-proof	Passed deterministic shadowing, capture, mutation, loop, catch, lambda, expression-variable, and comprehension cases	The acceptance requires observable proof that the nearest active declaration is selected across every currently modeled local-binding form	M14TypedLocalIdentityIntegrationTest.hx; npm run test:m14:typed-local-identity	all focused cases passed twice with identical canonical binding identities
2026-07-24T19:54:34Z	regression-proof	Passed the complete compiler core shard after adding the new test to the aggregate and shard contracts	Local identity touches typing and typed-body records consumed by every backend, so one focused interpreter test is insufficient	node scripts/ci/core-test-shard.js --shard compiler	110 of 110 commands passed in 376.766 seconds
2026-07-24T19:54:34Z	second-pass	Accepted the identity and replay seam after a thinking:high design review	The review checked the subtle failure points: declaration activation order, speculative inference, deterministic ownership, source hints versus semantic types, and revision completeness	TyFunctionEnv.copyForInference; TypedBodyBuilder; TypedBodyInvariant; CompilerTypedModuleRevision	the design is sound for source declarations; compiler-generated lowering temporaries remain an explicit later migration
2026-07-24T19:54:34Z	native-gate	Rejected the first regenerated native snapshot and corrected the Haxe source rather than editing generated OCaml	An alternation-plus-guard switch compiled into a wildcard-first OCaml match, and warnings are errors in the native build	regenerate-hxhx-bootstrap.sh --skip-if-unchanged --incremental --verify; TypedBodyInvariant.hx	first native verification failed on redundant cases; source now uses explicit tag comparisons and focused tests remain green
2026-07-24T20:13:20Z	generated-native-proof	Regenerated the exact Haxe-authored bootstrap and passed the native OCaml build after the source correction	The new identities and binding records cross the Haxe compiler core, Reflaxe generation, committed OCaml snapshot, and Dune build, so generated-native proof is required	regenerate-hxhx-bootstrap.sh --skip-if-unchanged --incremental --verify	emit=901s; snapshot files=368; verification=20s; total=932s; exact native snapshot PASS
2026-07-24T20:13:20Z	final-guards	Passed formatting, aggregate/shard inventory, clean diff, and fingerprint freshness checks	The new focused test must remain in required CI, every touched Haxe file must use repository formatting, and generated output must match current source	npm run guard:hx-format; npm run guard:core-test-shards; git diff --check; regenerate-hxhx-bootstrap.sh --skip-if-unchanged --incremental --verify	886 Haxe files clean; 117 commands assigned across four shards; unchanged fingerprint skipped emission and reverified in 21s
2026-07-24T20:13:20Z	readiness	Kept README Goals and product maturity unchanged	This child establishes an internal semantic prerequisite but does not yet migrate backends, enable typed reuse, or add a supported user route	haxe_ocaml-i7d5a.1 acceptance review	child is ready to close; the parent remains open for generated temporaries and backend hard cuts
